derivation,case_id,metric,ruby_value,julia_value,absolute_difference,comparison_mode,status,result_class
two_object_phase,d=2/5;phase=9/20,p_alpha,0.2,0.2,0.0,exact,match,model consequence
two_object_phase,d=2/5;phase=9/20,p_polymorphy,0.8,0.8,0.0,exact,match,model consequence
two_object_phase,d=2/5;phase=9/20,p_kappa,0.0,0.0,0.0,exact,match,model consequence
two_object_phase,d=2/5;phase=9/20,alpha_entry_count,2.0,2.0,0.0,exact,match,model consequence
two_object_phase,d=2/5;phase=9/20,alpha_mean_bout_fraction,0.1,0.1,0.0,exact,match,model consequence
two_object_phase,d=2/5;phase=9/20,alpha_maximum_bout_fraction,0.15,0.15,0.0,exact,match,model consequence
two_object_phase,d=2/5;phase=9/20,alpha_bout_variance_fraction_squared,0.0025,0.0025,0.0,exact,match,model consequence
two_object_phase,d=2/5;phase=19/40,p_alpha,0.2,0.2,0.0,exact,match,model consequence
two_object_phase,d=2/5;phase=19/40,p_polymorphy,0.8,0.8,0.0,exact,match,model consequence
two_object_phase,d=2/5;phase=19/40,p_kappa,0.0,0.0,0.0,exact,match,model consequence
two_object_phase,d=2/5;phase=19/40,alpha_entry_count,2.0,2.0,0.0,exact,match,model consequence
two_object_phase,d=2/5;phase=19/40,alpha_mean_bout_fraction,0.1,0.1,0.0,exact,match,model consequence
two_object_phase,d=2/5;phase=19/40,alpha_maximum_bout_fraction,0.125,0.125,0.0,exact,match,model consequence
two_object_phase,d=2/5;phase=19/40,alpha_bout_variance_fraction_squared,0.000625,0.000625,0.0,exact,match,model consequence
two_object_phase,d=2/5;phase=1/2,p_alpha,0.2,0.2,0.0,exact,match,model consequence
two_object_phase,d=2/5;phase=1/2,p_polymorphy,0.8,0.8,0.0,exact,match,model consequence
two_object_phase,d=2/5;phase=1/2,p_kappa,0.0,0.0,0.0,exact,match,model consequence
two_object_phase,d=2/5;phase=1/2,alpha_entry_count,2.0,2.0,0.0,exact,match,model consequence
two_object_phase,d=2/5;phase=1/2,alpha_mean_bout_fraction,0.1,0.1,0.0,exact,match,model consequence
two_object_phase,d=2/5;phase=1/2,alpha_maximum_bout_fraction,0.1,0.1,0.0,exact,match,model consequence
two_object_phase,d=2/5;phase=1/2,alpha_bout_variance_fraction_squared,0.0,0.0,0.0,exact,match,model consequence
bernoulli_temporal,n=3;rho=1/10,p_alpha,0.729,0.729,0.0,exact,match,model consequence
bernoulli_temporal,n=3;rho=1/10,p_polymorphy,0.27,0.27,0.0,exact,match,model consequence
bernoulli_temporal,n=3;rho=1/10,p_kappa,0.001,0.001,0.0,exact,match,model consequence
bernoulli_temporal,n=3;rho=1/10,expected_held_count,0.3,0.3,0.0,exact,match,model consequence
bernoulli_temporal,n=3;rho=1/4,p_alpha,0.421875,0.421875,0.0,exact,match,model consequence
bernoulli_temporal,n=3;rho=1/4,p_polymorphy,0.5625,0.5625,0.0,exact,match,model consequence
bernoulli_temporal,n=3;rho=1/4,p_kappa,0.015625,0.015625,0.0,exact,match,model consequence
bernoulli_temporal,n=3;rho=1/4,expected_held_count,0.75,0.75,0.0,exact,match,model consequence
bernoulli_temporal,n=3;rho=1/2,p_alpha,0.125,0.125,0.0,exact,match,model consequence
bernoulli_temporal,n=3;rho=1/2,p_polymorphy,0.75,0.75,0.0,exact,match,model consequence
bernoulli_temporal,n=3;rho=1/2,p_kappa,0.125,0.125,0.0,exact,match,model consequence
bernoulli_temporal,n=3;rho=1/2,expected_held_count,1.5,1.5,0.0,exact,match,model consequence
bernoulli_temporal,n=3;rho=3/4,p_alpha,0.015625,0.015625,0.0,exact,match,model consequence
