derivation,case_id,metric,value,exact_value,result_class,assumption
two_object_phase,d=2/5;phase=3/40,alpha_bout_variance_fraction_squared,0.0,0,model consequence,"two contiguous circular retention intervals; shortest phase in [0, 1/2]"
two_object_phase,d=2/5;phase=1/10,p_alpha,0.5,1/2,model consequence,"two contiguous circular retention intervals; shortest phase in [0, 1/2]"
two_object_phase,d=2/5;phase=1/10,p_amphoteron,0.2,1/5,model consequence,"two contiguous circular retention intervals; shortest phase in [0, 1/2]"
two_object_phase,d=2/5;phase=1/10,p_kappa,0.3,3/10,model consequence,"two contiguous circular retention intervals; shortest phase in [0, 1/2]"
two_object_phase,d=2/5;phase=1/10,alpha_entry_count,1.0,1,model consequence,"two contiguous circular retention intervals; shortest phase in [0, 1/2]"
two_object_phase,d=2/5;phase=1/10,alpha_mean_bout_fraction,0.5,1/2,model consequence,"two contiguous circular retention intervals; shortest phase in [0, 1/2]"
two_object_phase,d=2/5;phase=1/10,alpha_maximum_bout_fraction,0.5,1/2,model consequence,"two contiguous circular retention intervals; shortest phase in [0, 1/2]"
two_object_phase,d=2/5;phase=1/10,alpha_bout_variance_fraction_squared,0.0,0,model consequence,"two contiguous circular retention intervals; shortest phase in [0, 1/2]"
two_object_phase,d=2/5;phase=1/8,p_alpha,0.475,19/40,model consequence,"two contiguous circular retention intervals; shortest phase in [0, 1/2]"
two_object_phase,d=2/5;phase=1/8,p_amphoteron,0.25,1/4,model consequence,"two contiguous circular retention intervals; shortest phase in [0, 1/2]"
two_object_phase,d=2/5;phase=1/8,p_kappa,0.275,11/40,model consequence,"two contiguous circular retention intervals; shortest phase in [0, 1/2]"
two_object_phase,d=2/5;phase=1/8,alpha_entry_count,1.0,1,model consequence,"two contiguous circular retention intervals; shortest phase in [0, 1/2]"
two_object_phase,d=2/5;phase=1/8,alpha_mean_bout_fraction,0.475,19/40,model consequence,"two contiguous circular retention intervals; shortest phase in [0, 1/2]"
two_object_phase,d=2/5;phase=1/8,alpha_maximum_bout_fraction,0.475,19/40,model consequence,"two contiguous circular retention intervals; shortest phase in [0, 1/2]"
two_object_phase,d=2/5;phase=1/8,alpha_bout_variance_fraction_squared,0.0,0,model consequence,"two contiguous circular retention intervals; shortest phase in [0, 1/2]"
two_object_phase,d=2/5;phase=3/20,p_alpha,0.45,9/20,model consequence,"two contiguous circular retention intervals; shortest phase in [0, 1/2]"
two_object_phase,d=2/5;phase=3/20,p_amphoteron,0.3,3/10,model consequence,"two contiguous circular retention intervals; shortest phase in [0, 1/2]"
two_object_phase,d=2/5;phase=3/20,p_kappa,0.25,1/4,model consequence,"two contiguous circular retention intervals; shortest phase in [0, 1/2]"
two_object_phase,d=2/5;phase=3/20,alpha_entry_count,1.0,1,model consequence,"two contiguous circular retention intervals; shortest phase in [0, 1/2]"
two_object_phase,d=2/5;phase=3/20,alpha_mean_bout_fraction,0.45,9/20,model consequence,"two contiguous circular retention intervals; shortest phase in [0, 1/2]"
two_object_phase,d=2/5;phase=3/20,alpha_maximum_bout_fraction,0.45,9/20,model consequence,"two contiguous circular retention intervals; shortest phase in [0, 1/2]"
two_object_phase,d=2/5;phase=3/20,alpha_bout_variance_fraction_squared,0.0,0,model consequence,"two contiguous circular retention intervals; shortest phase in [0, 1/2]"
two_object_phase,d=2/5;phase=7/40,p_alpha,0.425,17/40,model consequence,"two contiguous circular retention intervals; shortest phase in [0, 1/2]"
two_object_phase,d=2/5;phase=7/40,p_amphoteron,0.35,7/20,model consequence,"two contiguous circular retention intervals; shortest phase in [0, 1/2]"
two_object_phase,d=2/5;phase=7/40,p_kappa,0.225,9/40,model consequence,"two contiguous circular retention intervals; shortest phase in [0, 1/2]"
two_object_phase,d=2/5;phase=7/40,alpha_entry_count,1.0,1,model consequence,"two contiguous circular retention intervals; shortest phase in [0, 1/2]"
two_object_phase,d=2/5;phase=7/40,alpha_mean_bout_fraction,0.425,17/40,model consequence,"two contiguous circular retention intervals; shortest phase in [0, 1/2]"
two_object_phase,d=2/5;phase=7/40,alpha_maximum_bout_fraction,0.425,17/40,model consequence,"two contiguous circular retention intervals; shortest phase in [0, 1/2]"
two_object_phase,d=2/5;phase=7/40,alpha_bout_variance_fraction_squared,0.0,0,model consequence,"two contiguous circular retention intervals; shortest phase in [0, 1/2]"
two_object_phase,d=2/5;phase=1/5,p_alpha,0.4,2/5,model consequence,"two contiguous circular retention intervals; shortest phase in [0, 1/2]"
two_object_phase,d=2/5;phase=1/5,p_amphoteron,0.4,2/5,model consequence,"two contiguous circular retention intervals; shortest phase in [0, 1/2]"
two_object_phase,d=2/5;phase=1/5,p_kappa,0.2,1/5,model consequence,"two contiguous circular retention intervals; shortest phase in [0, 1/2]"
two_object_phase,d=2/5;phase=1/5,alpha_entry_count,1.0,1,model consequence,"two contiguous circular retention intervals; shortest phase in [0, 1/2]"
two_object_phase,d=2/5;phase=1/5,alpha_mean_bout_fraction,0.4,2/5,model consequence,"two contiguous circular retention intervals; shortest phase in [0, 1/2]"
two_object_phase,d=2/5;phase=1/5,alpha_maximum_bout_fraction,0.4,2/5,model consequence,"two contiguous circular retention intervals; shortest phase in [0, 1/2]"
two_object_phase,d=2/5;phase=1/5,alpha_bout_variance_fraction_squared,0.0,0,model consequence,"two contiguous circular retention intervals; shortest phase in [0, 1/2]"
two_object_phase,d=2/5;phase=9/40,p_alpha,0.375,3/8,model consequence,"two contiguous circular retention intervals; shortest phase in [0, 1/2]"
two_object_phase,d=2/5;phase=9/40,p_amphoteron,0.45,9/20,model consequence,"two contiguous circular retention intervals; shortest phase in [0, 1/2]"
two_object_phase,d=2/5;phase=9/40,p_kappa,0.175,7/40,model consequence,"two contiguous circular retention intervals; shortest phase in [0, 1/2]"
two_object_phase,d=2/5;phase=9/40,alpha_entry_count,1.0,1,model consequence,"two contiguous circular retention intervals; shortest phase in [0, 1/2]"
two_object_phase,d=2/5;phase=9/40,alpha_mean_bout_fraction,0.375,3/8,model consequence,"two contiguous circular retention intervals; shortest phase in [0, 1/2]"
two_object_phase,d=2/5;phase=9/40,alpha_maximum_bout_fraction,0.375,3/8,model consequence,"two contiguous circular retention intervals; shortest phase in [0, 1/2]"
two_object_phase,d=2/5;phase=9/40,alpha_bout_variance_fraction_squared,0.0,0,model consequence,"two contiguous circular retention intervals; shortest phase in [0, 1/2]"
two_object_phase,d=2/5;phase=1/4,p_alpha,0.35,7/20,model consequence,"two contiguous circular retention intervals; shortest phase in [0, 1/2]"
two_object_phase,d=2/5;phase=1/4,p_amphoteron,0.5,1/2,model consequence,"two contiguous circular retention intervals; shortest phase in [0, 1/2]"
two_object_phase,d=2/5;phase=1/4,p_kappa,0.15,3/20,model consequence,"two contiguous circular retention intervals; shortest phase in [0, 1/2]"
two_object_phase,d=2/5;phase=1/4,alpha_entry_count,1.0,1,model consequence,"two contiguous circular retention intervals; shortest phase in [0, 1/2]"
two_object_phase,d=2/5;phase=1/4,alpha_mean_bout_fraction,0.35,7/20,model consequence,"two contiguous circular retention intervals; shortest phase in [0, 1/2]"
two_object_phase,d=2/5;phase=1/4,alpha_maximum_bout_fraction,0.35,7/20,model consequence,"two contiguous circular retention intervals; shortest phase in [0, 1/2]"
two_object_phase,d=2/5;phase=1/4,alpha_bout_variance_fraction_squared,0.0,0,model consequence,"two contiguous circular retention intervals; shortest phase in [0, 1/2]"
two_object_phase,d=2/5;phase=11/40,p_alpha,0.325,13/40,model consequence,"two contiguous circular retention intervals; shortest phase in [0, 1/2]"
two_object_phase,d=2/5;phase=11/40,p_amphoteron,0.55,11/20,model consequence,"two contiguous circular retention intervals; shortest phase in [0, 1/2]"
two_object_phase,d=2/5;phase=11/40,p_kappa,0.125,1/8,model consequence,"two contiguous circular retention intervals; shortest phase in [0, 1/2]"
two_object_phase,d=2/5;phase=11/40,alpha_entry_count,1.0,1,model consequence,"two contiguous circular retention intervals; shortest phase in [0, 1/2]"
two_object_phase,d=2/5;phase=11/40,alpha_mean_bout_fraction,0.325,13/40,model consequence,"two contiguous circular retention intervals; shortest phase in [0, 1/2]"
two_object_phase,d=2/5;phase=11/40,alpha_maximum_bout_fraction,0.325,13/40,model consequence,"two contiguous circular retention intervals; shortest phase in [0, 1/2]"
two_object_phase,d=2/5;phase=11/40,alpha_bout_variance_fraction_squared,0.0,0,model consequence,"two contiguous circular retention intervals; shortest phase in [0, 1/2]"
two_object_phase,d=2/5;phase=3/10,p_alpha,0.3,3/10,model consequence,"two contiguous circular retention intervals; shortest phase in [0, 1/2]"
two_object_phase,d=2/5;phase=3/10,p_amphoteron,0.6,3/5,model consequence,"two contiguous circular retention intervals; shortest phase in [0, 1/2]"
two_object_phase,d=2/5;phase=3/10,p_kappa,0.1,1/10,model consequence,"two contiguous circular retention intervals; shortest phase in [0, 1/2]"
two_object_phase,d=2/5;phase=3/10,alpha_entry_count,1.0,1,model consequence,"two contiguous circular retention intervals; shortest phase in [0, 1/2]"
two_object_phase,d=2/5;phase=3/10,alpha_mean_bout_fraction,0.3,3/10,model consequence,"two contiguous circular retention intervals; shortest phase in [0, 1/2]"
two_object_phase,d=2/5;phase=3/10,alpha_maximum_bout_fraction,0.3,3/10,model consequence,"two contiguous circular retention intervals; shortest phase in [0, 1/2]"
two_object_phase,d=2/5;phase=3/10,alpha_bout_variance_fraction_squared,0.0,0,model consequence,"two contiguous circular retention intervals; shortest phase in [0, 1/2]"
two_object_phase,d=2/5;phase=13/40,p_alpha,0.275,11/40,model consequence,"two contiguous circular retention intervals; shortest phase in [0, 1/2]"
two_object_phase,d=2/5;phase=13/40,p_amphoteron,0.65,13/20,model consequence,"two contiguous circular retention intervals; shortest phase in [0, 1/2]"
two_object_phase,d=2/5;phase=13/40,p_kappa,0.075,3/40,model consequence,"two contiguous circular retention intervals; shortest phase in [0, 1/2]"
two_object_phase,d=2/5;phase=13/40,alpha_entry_count,1.0,1,model consequence,"two contiguous circular retention intervals; shortest phase in [0, 1/2]"
two_object_phase,d=2/5;phase=13/40,alpha_mean_bout_fraction,0.275,11/40,model consequence,"two contiguous circular retention intervals; shortest phase in [0, 1/2]"
two_object_phase,d=2/5;phase=13/40,alpha_maximum_bout_fraction,0.275,11/40,model consequence,"two contiguous circular retention intervals; shortest phase in [0, 1/2]"
two_object_phase,d=2/5;phase=13/40,alpha_bout_variance_fraction_squared,0.0,0,model consequence,"two contiguous circular retention intervals; shortest phase in [0, 1/2]"
two_object_phase,d=2/5;phase=7/20,p_alpha,0.25,1/4,model consequence,"two contiguous circular retention intervals; shortest phase in [0, 1/2]"
two_object_phase,d=2/5;phase=7/20,p_amphoteron,0.7,7/10,model consequence,"two contiguous circular retention intervals; shortest phase in [0, 1/2]"
two_object_phase,d=2/5;phase=7/20,p_kappa,0.05,1/20,model consequence,"two contiguous circular retention intervals; shortest phase in [0, 1/2]"
two_object_phase,d=2/5;phase=7/20,alpha_entry_count,1.0,1,model consequence,"two contiguous circular retention intervals; shortest phase in [0, 1/2]"
two_object_phase,d=2/5;phase=7/20,alpha_mean_bout_fraction,0.25,1/4,model consequence,"two contiguous circular retention intervals; shortest phase in [0, 1/2]"
two_object_phase,d=2/5;phase=7/20,alpha_maximum_bout_fraction,0.25,1/4,model consequence,"two contiguous circular retention intervals; shortest phase in [0, 1/2]"
two_object_phase,d=2/5;phase=7/20,alpha_bout_variance_fraction_squared,0.0,0,model consequence,"two contiguous circular retention intervals; shortest phase in [0, 1/2]"
two_object_phase,d=2/5;phase=3/8,p_alpha,0.225,9/40,model consequence,"two contiguous circular retention intervals; shortest phase in [0, 1/2]"
two_object_phase,d=2/5;phase=3/8,p_amphoteron,0.75,3/4,model consequence,"two contiguous circular retention intervals; shortest phase in [0, 1/2]"
two_object_phase,d=2/5;phase=3/8,p_kappa,0.025,1/40,model consequence,"two contiguous circular retention intervals; shortest phase in [0, 1/2]"
two_object_phase,d=2/5;phase=3/8,alpha_entry_count,1.0,1,model consequence,"two contiguous circular retention intervals; shortest phase in [0, 1/2]"
two_object_phase,d=2/5;phase=3/8,alpha_mean_bout_fraction,0.225,9/40,model consequence,"two contiguous circular retention intervals; shortest phase in [0, 1/2]"
two_object_phase,d=2/5;phase=3/8,alpha_maximum_bout_fraction,0.225,9/40,model consequence,"two contiguous circular retention intervals; shortest phase in [0, 1/2]"
two_object_phase,d=2/5;phase=3/8,alpha_bout_variance_fraction_squared,0.0,0,model consequence,"two contiguous circular retention intervals; shortest phase in [0, 1/2]"
two_object_phase,d=2/5;phase=2/5,p_alpha,0.2,1/5,model consequence,"two contiguous circular retention intervals; shortest phase in [0, 1/2]"
two_object_phase,d=2/5;phase=2/5,p_amphoteron,0.8,4/5,model consequence,"two contiguous circular retention intervals; shortest phase in [0, 1/2]"
two_object_phase,d=2/5;phase=2/5,p_kappa,0.0,0,model consequence,"two contiguous circular retention intervals; shortest phase in [0, 1/2]"
two_object_phase,d=2/5;phase=2/5,alpha_entry_count,1.0,1,model consequence,"two contiguous circular retention intervals; shortest phase in [0, 1/2]"
two_object_phase,d=2/5;phase=2/5,alpha_mean_bout_fraction,0.2,1/5,model consequence,"two contiguous circular retention intervals; shortest phase in [0, 1/2]"
two_object_phase,d=2/5;phase=2/5,alpha_maximum_bout_fraction,0.2,1/5,model consequence,"two contiguous circular retention intervals; shortest phase in [0, 1/2]"
two_object_phase,d=2/5;phase=2/5,alpha_bout_variance_fraction_squared,0.0,0,model consequence,"two contiguous circular retention intervals; shortest phase in [0, 1/2]"
two_object_phase,d=2/5;phase=17/40,p_alpha,0.2,1/5,model consequence,"two contiguous circular retention intervals; shortest phase in [0, 1/2]"
two_object_phase,d=2/5;phase=17/40,p_amphoteron,0.8,4/5,model consequence,"two contiguous circular retention intervals; shortest phase in [0, 1/2]"
two_object_phase,d=2/5;phase=17/40,p_kappa,0.0,0,model consequence,"two contiguous circular retention intervals; shortest phase in [0, 1/2]"
two_object_phase,d=2/5;phase=17/40,alpha_entry_count,2.0,2,model consequence,"two contiguous circular retention intervals; shortest phase in [0, 1/2]"
two_object_phase,d=2/5;phase=17/40,alpha_mean_bout_fraction,0.1,1/10,model consequence,"two contiguous circular retention intervals; shortest phase in [0, 1/2]"
two_object_phase,d=2/5;phase=17/40,alpha_maximum_bout_fraction,0.175,7/40,model consequence,"two contiguous circular retention intervals; shortest phase in [0, 1/2]"
two_object_phase,d=2/5;phase=17/40,alpha_bout_variance_fraction_squared,0.005625,9/1600,model consequence,"two contiguous circular retention intervals; shortest phase in [0, 1/2]"
two_object_phase,d=2/5;phase=9/20,p_alpha,0.2,1/5,model consequence,"two contiguous circular retention intervals; shortest phase in [0, 1/2]"
two_object_phase,d=2/5;phase=9/20,p_amphoteron,0.8,4/5,model consequence,"two contiguous circular retention intervals; shortest phase in [0, 1/2]"
two_object_phase,d=2/5;phase=9/20,p_kappa,0.0,0,model consequence,"two contiguous circular retention intervals; shortest phase in [0, 1/2]"
two_object_phase,d=2/5;phase=9/20,alpha_entry_count,2.0,2,model consequence,"two contiguous circular retention intervals; shortest phase in [0, 1/2]"
two_object_phase,d=2/5;phase=9/20,alpha_mean_bout_fraction,0.1,1/10,model consequence,"two contiguous circular retention intervals; shortest phase in [0, 1/2]"
two_object_phase,d=2/5;phase=9/20,alpha_maximum_bout_fraction,0.15,3/20,model consequence,"two contiguous circular retention intervals; shortest phase in [0, 1/2]"
two_object_phase,d=2/5;phase=9/20,alpha_bout_variance_fraction_squared,0.0025,1/400,model consequence,"two contiguous circular retention intervals; shortest phase in [0, 1/2]"
two_object_phase,d=2/5;phase=19/40,p_alpha,0.2,1/5,model consequence,"two contiguous circular retention intervals; shortest phase in [0, 1/2]"
two_object_phase,d=2/5;phase=19/40,p_amphoteron,0.8,4/5,model consequence,"two contiguous circular retention intervals; shortest phase in [0, 1/2]"
two_object_phase,d=2/5;phase=19/40,p_kappa,0.0,0,model consequence,"two contiguous circular retention intervals; shortest phase in [0, 1/2]"
two_object_phase,d=2/5;phase=19/40,alpha_entry_count,2.0,2,model consequence,"two contiguous circular retention intervals; shortest phase in [0, 1/2]"
two_object_phase,d=2/5;phase=19/40,alpha_mean_bout_fraction,0.1,1/10,model consequence,"two contiguous circular retention intervals; shortest phase in [0, 1/2]"
two_object_phase,d=2/5;phase=19/40,alpha_maximum_bout_fraction,0.125,1/8,model consequence,"two contiguous circular retention intervals; shortest phase in [0, 1/2]"
two_object_phase,d=2/5;phase=19/40,alpha_bout_variance_fraction_squared,0.000625,1/1600,model consequence,"two contiguous circular retention intervals; shortest phase in [0, 1/2]"
two_object_phase,d=2/5;phase=1/2,p_alpha,0.2,1/5,model consequence,"two contiguous circular retention intervals; shortest phase in [0, 1/2]"
two_object_phase,d=2/5;phase=1/2,p_amphoteron,0.8,4/5,model consequence,"two contiguous circular retention intervals; shortest phase in [0, 1/2]"
two_object_phase,d=2/5;phase=1/2,p_kappa,0.0,0,model consequence,"two contiguous circular retention intervals; shortest phase in [0, 1/2]"
two_object_phase,d=2/5;phase=1/2,alpha_entry_count,2.0,2,model consequence,"two contiguous circular retention intervals; shortest phase in [0, 1/2]"
two_object_phase,d=2/5;phase=1/2,alpha_mean_bout_fraction,0.1,1/10,model consequence,"two contiguous circular retention intervals; shortest phase in [0, 1/2]"
two_object_phase,d=2/5;phase=1/2,alpha_maximum_bout_fraction,0.1,1/10,model consequence,"two contiguous circular retention intervals; shortest phase in [0, 1/2]"
two_object_phase,d=2/5;phase=1/2,alpha_bout_variance_fraction_squared,0.0,0,model consequence,"two contiguous circular retention intervals; shortest phase in [0, 1/2]"
bernoulli_temporal,n=3;rho=1/10,p_alpha,0.729,729/1000,model consequence,mutually independent Bernoulli retention indicators at one stationary sample
bernoulli_temporal,n=3;rho=1/10,p_amphoteron,0.27,27/100,model consequence,mutually independent Bernoulli retention indicators at one stationary sample
bernoulli_temporal,n=3;rho=1/10,p_kappa,0.001,1/1000,model consequence,mutually independent Bernoulli retention indicators at one stationary sample
bernoulli_temporal,n=3;rho=1/10,expected_held_count,0.3,3/10,model consequence,mutually independent Bernoulli retention indicators at one stationary sample
bernoulli_temporal,n=3;rho=1/4,p_alpha,0.421875,27/64,model consequence,mutually independent Bernoulli retention indicators at one stationary sample
bernoulli_temporal,n=3;rho=1/4,p_amphoteron,0.5625,9/16,model consequence,mutually independent Bernoulli retention indicators at one stationary sample
bernoulli_temporal,n=3;rho=1/4,p_kappa,0.015625,1/64,model consequence,mutually independent Bernoulli retention indicators at one stationary sample
bernoulli_temporal,n=3;rho=1/4,expected_held_count,0.75,3/4,model consequence,mutually independent Bernoulli retention indicators at one stationary sample
bernoulli_temporal,n=3;rho=1/2,p_alpha,0.125,1/8,model consequence,mutually independent Bernoulli retention indicators at one stationary sample
bernoulli_temporal,n=3;rho=1/2,p_amphoteron,0.75,3/4,model consequence,mutually independent Bernoulli retention indicators at one stationary sample
bernoulli_temporal,n=3;rho=1/2,p_kappa,0.125,1/8,model consequence,mutually independent Bernoulli retention indicators at one stationary sample
bernoulli_temporal,n=3;rho=1/2,expected_held_count,1.5,3/2,model consequence,mutually independent Bernoulli retention indicators at one stationary sample
bernoulli_temporal,n=3;rho=3/4,p_alpha,0.015625,1/64,model consequence,mutually independent Bernoulli retention indicators at one stationary sample
bernoulli_temporal,n=3;rho=3/4,p_amphoteron,0.5625,9/16,model consequence,mutually independent Bernoulli retention indicators at one stationary sample
bernoulli_temporal,n=3;rho=3/4,p_kappa,0.421875,27/64,model consequence,mutually independent Bernoulli retention indicators at one stationary sample
bernoulli_temporal,n=3;rho=3/4,expected_held_count,2.25,9/4,model consequence,mutually independent Bernoulli retention indicators at one stationary sample
bernoulli_temporal,n=3;rho=9/10,p_alpha,0.001,1/1000,model consequence,mutually independent Bernoulli retention indicators at one stationary sample
bernoulli_temporal,n=3;rho=9/10,p_amphoteron,0.27,27/100,model consequence,mutually independent Bernoulli retention indicators at one stationary sample
bernoulli_temporal,n=3;rho=9/10,p_kappa,0.729,729/1000,model consequence,mutually independent Bernoulli retention indicators at one stationary sample
bernoulli_temporal,n=3;rho=9/10,expected_held_count,2.7,27/10,model consequence,mutually independent Bernoulli retention indicators at one stationary sample
bernoulli_temporal,n=5;rho=1/10,p_alpha,0.59049,59049/100000,model consequence,mutually independent Bernoulli retention indicators at one stationary sample
bernoulli_temporal,n=5;rho=1/10,p_amphoteron,0.4095,819/2000,model consequence,mutually independent Bernoulli retention indicators at one stationary sample
bernoulli_temporal,n=5;rho=1/10,p_kappa,1.0e-5,1/100000,model consequence,mutually independent Bernoulli retention indicators at one stationary sample
bernoulli_temporal,n=5;rho=1/10,expected_held_count,0.5,1/2,model consequence,mutually independent Bernoulli retention indicators at one stationary sample
bernoulli_temporal,n=5;rho=1/4,p_alpha,0.2373046875,243/1024,model consequence,mutually independent Bernoulli retention indicators at one stationary sample
bernoulli_temporal,n=5;rho=1/4,p_amphoteron,0.76171875,195/256,model consequence,mutually independent Bernoulli retention indicators at one stationary sample
bernoulli_temporal,n=5;rho=1/4,p_kappa,0.0009765625,1/1024,model consequence,mutually independent Bernoulli retention indicators at one stationary sample
bernoulli_temporal,n=5;rho=1/4,expected_held_count,1.25,5/4,model consequence,mutually independent Bernoulli retention indicators at one stationary sample
bernoulli_temporal,n=5;rho=1/2,p_alpha,0.03125,1/32,model consequence,mutually independent Bernoulli retention indicators at one stationary sample
bernoulli_temporal,n=5;rho=1/2,p_amphoteron,0.9375,15/16,model consequence,mutually independent Bernoulli retention indicators at one stationary sample
bernoulli_temporal,n=5;rho=1/2,p_kappa,0.03125,1/32,model consequence,mutually independent Bernoulli retention indicators at one stationary sample
bernoulli_temporal,n=5;rho=1/2,expected_held_count,2.5,5/2,model consequence,mutually independent Bernoulli retention indicators at one stationary sample
bernoulli_temporal,n=5;rho=3/4,p_alpha,0.0009765625,1/1024,model consequence,mutually independent Bernoulli retention indicators at one stationary sample
bernoulli_temporal,n=5;rho=3/4,p_amphoteron,0.76171875,195/256,model consequence,mutually independent Bernoulli retention indicators at one stationary sample
bernoulli_temporal,n=5;rho=3/4,p_kappa,0.2373046875,243/1024,model consequence,mutually independent Bernoulli retention indicators at one stationary sample
bernoulli_temporal,n=5;rho=3/4,expected_held_count,3.75,15/4,model consequence,mutually independent Bernoulli retention indicators at one stationary sample
bernoulli_temporal,n=5;rho=9/10,p_alpha,1.0e-5,1/100000,model consequence,mutually independent Bernoulli retention indicators at one stationary sample
bernoulli_temporal,n=5;rho=9/10,p_amphoteron,0.4095,819/2000,model consequence,mutually independent Bernoulli retention indicators at one stationary sample
bernoulli_temporal,n=5;rho=9/10,p_kappa,0.59049,59049/100000,model consequence,mutually independent Bernoulli retention indicators at one stationary sample
bernoulli_temporal,n=5;rho=9/10,expected_held_count,4.5,9/2,model consequence,mutually independent Bernoulli retention indicators at one stationary sample
bernoulli_temporal,n=10;rho=1/10,p_alpha,0.3486784401,3486784401/10000000000,model consequence,mutually independent Bernoulli retention indicators at one stationary sample
bernoulli_temporal,n=10;rho=1/10,p_amphoteron,0.6513215598,3256607799/5000000000,model consequence,mutually independent Bernoulli retention indicators at one stationary sample
bernoulli_temporal,n=10;rho=1/10,p_kappa,1.0e-10,1/10000000000,model consequence,mutually independent Bernoulli retention indicators at one stationary sample
bernoulli_temporal,n=10;rho=1/10,expected_held_count,1.0,1,model consequence,mutually independent Bernoulli retention indicators at one stationary sample
bernoulli_temporal,n=10;rho=1/4,p_alpha,0.056313514709472656,59049/1048576,model consequence,mutually independent Bernoulli retention indicators at one stationary sample
bernoulli_temporal,n=10;rho=1/4,p_amphoteron,0.9436855316162109,494763/524288,model consequence,mutually independent Bernoulli retention indicators at one stationary sample
bernoulli_temporal,n=10;rho=1/4,p_kappa,9.5367431640625e-7,1/1048576,model consequence,mutually independent Bernoulli retention indicators at one stationary sample
bernoulli_temporal,n=10;rho=1/4,expected_held_count,2.5,5/2,model consequence,mutually independent Bernoulli retention indicators at one stationary sample
